Total,117,last hour,30,2023-12-11 17:31:52
Total,118,last hour,31,2023-12-11 17:32:00
Total,119,last hour,32,2023-12-11 17:32:07
Total,120,last hour,33,2023-12-11 17:33:03
Total,121,last hour,34,2023-12-11 17:33:11
Total,122,last hour,35,2023-12-11 17:33:20
Total,123,last hour,36,2023-12-11 17:33:27
Total,124,last hour,37,2023-12-11 17:35:18
Total,125,last hour,38,2023-12-11 17:35:26
Total,126,last hour,39,2023-12-11 17:35:34
Total,127,last hour,40,2023-12-11 17:35:40
Total,128,last hour,37,2023-12-11 17:36:43
Total,129,last hour,38,2023-12-11 17:36:50
Total,130,last hour,39,2023-12-11 17:36:57
Total,131,last hour,40,2023-12-11 17:37:05
Total,132,last hour,1,2023-12-12 10:42:41
Total,133,last hour,2,2023-12-12 10:42:49
Total,134,last hour,3,2023-12-12 10:42:57
Total,135,last hour,4,2023-12-12 10:43:05
Total,136,last hour,5,2023-12-12 11:33:16
Total,137,last hour,6,2023-12-12 11:34:02
Total,138,last hour,7,2023-12-12 11:34:11
Total,139,last hour,8,2023-12-12 11:34:19
Total,140,last hour,9,2023-12-12 11:34:27
Total,141,last hour,10,2023-12-12 11:40:29
Total,142,last hour,11,2023-12-12 11:40:36
Total,143,last hour,12,2023-12-12 11:40:43
Total,144,last hour,13,2023-12-12 11:40:50
Total,145,last hour,10,2023-12-12 11:49:21
Total,146,last hour,11,2023-12-12 11:49:29
Total,147,last hour,12,2023-12-12 11:49:36
Total,148,last hour,13,2023-12-12 11:49:44
Total,149,last hour,14,2023-12-12 11:57:57
Total,150,last hour,15,2023-12-12 11:58:06
Total,151,last hour,16,2023-12-12 11:58:14
Total,152,last hour,17,2023-12-12 11:58:21
Total,153,last hour,1,2023-12-12 13:56:26
Total,154,last hour,2,2023-12-12 13:56:35
Total,155,last hour,3,2023-12-12 13:56:42
Total,156,last hour,4,2023-12-12 13:56:49
Total,157,last hour,5,2023-12-12 14:03:06
Total,158,last hour,6,2023-12-12 14:03:15
Total,159,last hour,7,2023-12-12 14:03:22
Total,160,last hour,8,2023-12-12 14:03:29
Total,161,last hour,5,2023-12-12 15:02:11
Total,162,last hour,6,2023-12-12 15:02:19
Total,163,last hour,7,2023-12-12 15:02:26
Total,164,last hour,8,2023-12-12 15:02:34
Total,165,last hour,5,2023-12-12 15:10:13
Total,166,last hour,6,2023-12-12 15:10:20
Total,167,last hour,7,2023-12-12 15:10:27
Total,168,last hour,8,2023-12-12 15:10:35
Total,169,last hour,9,2023-12-12 15:11:58
Total,170,last hour,10,2023-12-12 15:12:06
Total,171,last hour,11,2023-12-12 15:12:13
Total,172,last hour,12,2023-12-12 15:12:20
Total,173,last hour,13,2023-12-12 15:36:00
Total,174,last hour,14,2023-12-12 15:36:07
Total,175,last hour,15,2023-12-12 15:36:15
Total,176,last hour,16,2023-12-12 15:36:22
Total,177,last hour,17,2023-12-12 15:37:03
Total,178,last hour,18,2023-12-12 15:37:11
